C_CODE;SHORT_NAME;FULL_NAME
Area_poly;Area_polygones_ha;area calculated from the polygones [ha]
Area_rast;Area_raster;area calculated from raster pixels [ha]
AREA_ha;AREA_ha;Area in hectares
delta_ha;delta Area_poly to Area_rast;delta between the area calculation of vector and raster [ha]
num_SELU;number of SELU;number of SELU units combined
C1_1;C1_1LivingAGB_AGC;Aboveground living biomass carbon
C1_2;C1_2LitterAGB_AGC; Litter and deadwood carbon
C1_3_1;C1_3_1Roots_C;Roots carbon
C1_3_2;C1_3_2SOC;Soil Organic Carbon
C1_43;C1_43LivestockC;Livestock carbon
C1;C1OpeningStockTOT;Opening Stocks Total
C2_3;C2_3NPP;NPP (Net Primary Production)
C2_53;C2_53NetLivestock;Net increase of livestock
C2_54;C2_54DecomptoSoil;Decomposition of litter to soil
C2_5;C2_5IncrSecond;Net increase of secondary biocarbon (incl. livestock, fish stocks, soil...)
C2_6;C2_6ExternInflo;Inflows of biocarbon from other countries & the sea
C2_71;C2_71AgriResidual;Agriculture crops residuals (incl. removals and returns)
C2_72;C2_72Manure;Manure return and application
C2_73;C2_73ForResidual;Forestry residuals (incl. removals and returns)
C2_74;C2_74FisheriDiscard;Fishery discards
C2_751;C2_751Biofuel;Supply of biofuel
C2_752;C2_752LivFeedNet;Supply of livestock feed (net of grazing)
C2_753;C2_753OtherNetSupply;Other transfers received from the supply and use system (net)
C2_75;C2_75TransfSuppUse;Transfers from the supply & use system
C2_7;C2_7ProdResiduals;Production residuals and transfers (leftovers, manure, discards)
C2_8;C2_8ConsuReturn;Consumption returns (sludge, wastewater, solid waste)
C2;C2TOTinflow [gains];Total inflow of biocarbon (gains)
C3_11;C3_11CEREAL;Cereals
C3_12;C3_11FIBRE;Fibre crops
C3_13;C3_13FRUIT;Fuits
C3_14;C3_14OIL;Oil crops
C3_15;C3_15PULSE;Pulses
C3_16;C3_16ROOTUB;Roots and tubers
C3_17;C3_17COFNUT;Coffe, tea, coconut, tree nuts, tobacco
C3_18;C3_18VEGET;Vegetables
